MUNICIPIO,Latitud,Longitud
CARURU,1.5370737,-70.2054609
BUENAVENTURA,3.8881929,-77.0738324
MANI,4.8182904,-72.2803964
FLORESTA,5.862837150000001,-72.9300059966024
ANDALUCIA,4.804660800000001,-75.72020732144475
NIMAIMA,5.125392,-74.3853502
AGUA DE DIOS,4.3772853,-74.6694759
ZETAQUIRA,5.2821538,-73.16696532729358
GUASCA,4.80315605,-73.85476787621586
SOLEDAD,10.9149593,-74.7821054
AGUSTIN CODAZZI,10.0374894,-73.2387011
SUSA,5.43879415,-73.83960697500001
SOACHA,4.5821413,-74.2197178
TURMEQUE,5.301455750000001,-73.51158625633286
IMUES,1.06937485,-77.50429603300884
GARZON,2.1960126,-75.6274845
COTORRA,9.0400712,-75.7863907
PUEBLO BELLO,10.4119057,-73.5909603
SABANA DE TORRES,7.3939416,-73.4998859
ABREGO,8.0818887,-73.2208717
DOLORES,3.6275684,-74.80978514797033
EL DORADO,3.7393505,-73.8350537
GALAPA,10.89698155,-74.88043076150821
EL CARMEN DE VIBORAL,5.9821143,-75.26168780051786
FLORENCIA,1.7554212,-75.60811976268113
SUPIA,5.4533321,-75.651965
PORE,5.727473,-71.9928398
TRINIDAD,5.407760122988072,-71.66124687257825
SOATA,6.334274349999999,-72.68408363454353
PLANADAS,3.09823215,-75.85647997062605
SAN GIL,6.5552856,-73.1312353
ARMENIA,4.536307,-75.6723751
SAN RAFAEL,6.30792375,-75.01378704541548
LA CEJA,5.98430825,-75.44752287622777
TUQUERRES,1.0877024,-77.6188242
JARDIN,5.5674766,-75.80248497131014
POLONUEVO,10.75828765,-74.86273693012016
LEJANIAS,3.5265098,-74.0226232
SABANAGRANDE,10.80408175,-74.77445095710297
VALLE DEL GUAMUEZ,0.44932225000000003,-76.87845278479098
CHOACHI,4.528982,-73.9231074
MOMPOS,9.2426345,-74.4262293
PIENDAMO,2.6082278,-76.4733781
LA CRUZ,1.6003354,-76.9711667
SUCRE,9.0,-75.0
PALERMO,2.8896962,-75.4346589
BOJACA,4.68792135,-74.32500216127059
NUEVO COLON,5.3528931,-73.44768916765554
SAN JOSE DE MIRANDA,6.62526745,-72.7366986177611
PULI,4.6809255,-74.7135542
CONSACA,1.2092969,-77.42671867061364
FUSAGASUGA,4.3247005000000005,-74.39135684787772
OPORAPA,4,876111,-72,896390
PUERTO CAICEDO,0.6841941,-76.6044095
MAGANGUE,9.2412097,-74.7567413
VICTORIA,5.3167944,-74.9120079
SOCHA,5.997488,-72.6911515
CUMBITARA,1.6476758,-77.5783622
MONTERREY,4.878114287818265,-72.89660812222233
TONA,7.2020629,-72.9663733
CUMBAL,0.9092082,-77.788906
ZONA BANANERA,10.79680915,-74.1807898427695
OCANA,8.1758238,-73.3670106
TIMBIO,2.352893,-76.6838869
FLORIAN,5.786913200000001,-73.97024265744398
PUERTO GUZMAN,0.7569669,-75.88226773330348
LORICA,9.189007,-75.87850891819562
VENTAQUEMADA,5.3666155,-73.5216361
SARAVENA,6.9068188,-71.83613345742756
CISNEROS,6.54522135,-75.0803002625695
